Materiale,Modulo_Young_MPa,Snervamento_MPa,Spessore_mm,Cava_V_mm,Raggio_Punzone_mm,Raggio_Matrice_mm,Angolo_Desiderato_deg,Corsa_Punzione_mm
Alluminio_6061_T6,70045.3,284.3,3.7,32,4.0,1.0,125.71,7.102
Acciaio_Mite_S235,205153.4,225.4,1.6,12,1.5,3.0,144.26,1.421
Acciaio_Inox_304,195622.2,289.5,5.4,40,0.8,2.0,117.5,10.738
Alluminio_6061_T6,69253.1,269.2,2.4,20,1.0,2.0,115.74,5.244
Acciaio_Inox_304,197279.2,308.3,2.3,20,4.0,1.5,143.64,2.833
Alluminio_5052_H32,69493.4,187.0,6.6,50,3.0,1.0,113.08,14.385
Acciaio_Mite_S235,210053.8,212.5,4.3,32,1.5,2.0,88.29,13.178
Acciaio_Mite_S235,214319.7,240.4,2.9,24,1.5,3.0,105.2,7.363
Alluminio_6061_T6,69616.7,289.3,6.4,50,3.0,3.0,120.88,12.271
Alluminio_6061_T6,70503.1,249.1,5.7,50,3.0,3.0,152.79,5.674
Acciaio_Mite_S235,205112.0,228.6,1.5,12,3.0,1.0,138.41,1.957
Acciaio_Mite_S235,214446.2,244.7,1.4,12,1.0,3.0,118.15,2.792
Acciaio_Mite_S235,213494.9,240.0,6.9,60,3.0,2.0,88.75,25.533
Acciaio_Mite_S235,208746.9,236.7,4.6,40,1.0,1.0,130.0,8.621
Acciaio_Mite_S235,209301.4,205.3,4.5,32,1.0,1.0,145.68,4.657
Acciaio_Mite_S235,208117.8,244.2,3.1,24,1.0,2.0,101.64,7.947
Acciaio_Inox_304,188526.0,294.4,2.3,20,0.8,3.0,141.77,3.042
Acciaio_Inox_304,189489.3,280.3,5.0,40,3.0,2.0,152.46,4.539
Alluminio_6061_T6,69066.8,284.5,2.2,16,4.0,3.0,129.0,2.742
Alluminio_6061_T6,68761.0,282.2,7.7,60,2.0,2.0,143.07,9.412
Alluminio_5052_H32,71230.8,195.7,3.3,24,1.5,2.0,102.82,7.626
Alluminio_5052_H32,72166.6,190.7,2.9,24,2.0,1.5,117.19,6.212
Alluminio_6061_T6,69809.9,276.3,5.9,50,1.5,2.0,105.01,16.708
Alluminio_5052_H32,71471.1,205.4,3.4,24,3.0,2.0,81.71,9.448
Acciaio_Inox_304,193840.7,290.9,3.8,32,0.8,3.0,112.11,9.215
Alluminio_6061_T6,70818.0,256.0,2.4,20,0.8,1.0,142.35,3.179
Acciaio_Mite_S235,212674.8,248.1,7.6,60,1.5,3.0,91.61,24.269
Acciaio_Mite_S235,210082.7,226.5,2.7,20,4.0,1.0,96.17,6.403
Alluminio_6061_T6,68002.6,277.6,5.9,50,4.0,1.5,130.3,10.355
Acciaio_Inox_304,188165.7,301.8,6.2,50,4.0,1.5,127.26,11.154
Alluminio_6061_T6,68723.5,279.9,4.5,32,2.0,2.0,147.23,4.379
Alluminio_6061_T6,70467.1,273.3,7.4,60,3.0,1.5,153.25,6.797
Alluminio_6061_T6,67916.8,269.1,1.8,16,1.0,3.0,145.83,2.254
Acciaio_Mite_S235,211917.5,238.2,8.0,60,0.8,1.5,149.09,7.887
Alluminio_5052_H32,70429.8,204.6,7.8,60,4.0,1.0,95.09,22.922
Acciaio_Mite_S235,211326.0,222.1,2.6,20,1.0,1.5,113.42,5.506
Acciaio_Inox_304,188970.7,318.6,6.8,50,0.8,3.0,121.56,12.458
Alluminio_5052_H32,69643.8,189.5,2.1,16,0.8,1.0,144.43,2.377
Alluminio_6061_T6,68933.5,265.4,3.9,32,4.0,3.0,101.06,10.009
Alluminio_5052_H32,70711.6,190.7,1.9,16,0.8,2.0,127.23,3.257
Acciaio_Inox_304,194110.9,312.8,4.4,32,3.0,1.5,124.92,7.202
Alluminio_6061_T6,71851.9,274.6,6.3,50,1.5,1.0,129.0,11.077
Acciaio_Inox_304,190878.8,314.1,4.9,40,2.0,3.0,110.21,11.78
Alluminio_6061_T6,72530.3,274.5,1.8,16,1.0,2.0,142.42,2.339
Alluminio_6061_T6,69108.8,270.5,7.1,60,1.5,3.0,137.11,10.936
Alluminio_6061_T6,70487.7,269.4,5.9,50,0.8,1.0,100.15,18.73
Alluminio_5052_H32,70928.2,187.1,2.2,16,0.8,3.0,135.79,2.794
Alluminio_6061_T6,71977.1,286.5,2.3,20,3.0,1.0,106.53,5.916
Alluminio_6061_T6,65939.0,259.3,5.9,50,0.8,1.5,93.63,20.355
Alluminio_5052_H32,68711.5,189.7,3.8,32,1.5,1.5,104.46,10.579
Acciaio_Inox_304,196390.4,279.9,4.1,32,0.8,1.5,112.06,9.434
Acciaio_Mite_S235,210559.6,225.6,1.6,12,4.0,1.5,94.7,2.886
Alluminio_6061_T6,68445.6,280.6,2.3,20,1.0,1.5,125.05,4.516
Acciaio_Inox_304,191594.8,279.5,2.0,16,0.8,1.0,131.23,3.234
Acciaio_Inox_304,189849.9,303.6,5.9,50,1.5,2.0,107.37,16.032
Alluminio_5052_H32,70029.9,189.6,1.4,12,4.0,1.5,156.94,1.155
Acciaio_Inox_304,199077.9,304.8,1.4,12,2.0,1.0,92.08,4.005
Acciaio_Inox_304,197872.2,287.4,5.9,50,1.5,2.0,101.26,17.762
Acciaio_Inox_304,193402.9,293.7,5.0,40,0.8,1.0,139.23,6.828
Acciaio_Mite_S235,211772.8,253.9,2.5,20,2.0,3.0,106.47,5.543
Acciaio_Mite_S235,208675.6,241.6,2.5,20,0.8,2.0,124.71,4.477
Acciaio_Mite_S235,207337.6,220.7,3.5,24,4.0,3.0,127.2,4.687
Acciaio_Mite_S235,208800.0,214.1,5.4,40,1.5,3.0,122.15,9.606
Alluminio_6061_T6,70142.1,270.9,5.1,40,2.0,1.0,157.11,3.806
Alluminio_6061_T6,70810.7,265.1,3.9,32,1.0,2.0,116.45,8.59
Acciaio_Inox_304,188085.1,302.8,5.4,40,1.5,2.0,105.24,12.955
Alluminio_5052_H32,71339.5,213.0,2.4,20,0.8,1.5,152.3,2.316
Alluminio_5052_H32,69558.6,207.0,5.1,40,3.0,1.0,104.19,13.12
Acciaio_Inox_304,184637.0,268.3,4.5,32,0.8,1.5,150.87,3.9
Alluminio_6061_T6,69231.7,275.4,6.4,50,3.0,1.5,104.7,16.434
Acciaio_Inox_304,187842.9,281.3,7.1,60,1.0,1.5,131.32,12.495
Acciaio_Mite_S235,208590.8,235.2,4.3,32,1.0,1.0,109.53,10.033
Acciaio_Mite_S235,210874.7,223.7,6.7,50,4.0,1.5,153.73,5.477
Alluminio_5052_H32,70202.5,178.9,5.1,40,2.0,2.0,86.35,17.236
Alluminio_6061_T6,69493.0,281.0,1.1,8,1.5,3.0,103.11,1.544
Alluminio_5052_H32,70267.8,196.8,6.5,50,1.5,1.0,150.82,6.154
Alluminio_5052_H32,70457.1,190.7,2.2,16,3.0,1.0,100.58,4.855
Alluminio_6061_T6,68240.2,270.7,2.0,16,1.0,2.0,145.67,2.243
Alluminio_5052_H32,70872.9,196.2,6.8,50,4.0,2.0,104.17,15.98
Acciaio_Inox_304,190272.6,310.2,3.7,32,3.0,1.0,112.15,9.149
Acciaio_Inox_304,191643.1,297.9,5.0,40,4.0,1.0,85.02,16.914
Alluminio_6061_T6,70288.9,285.1,6.2,50,2.0,1.0,92.77,20.126
Alluminio_5052_H32,67723.4,207.0,2.3,20,4.0,3.0,83.85,6.443
Alluminio_6061_T6,69200.2,278.3,6.3,50,1.0,2.0,80.45,24.51
Alluminio_6061_T6,66935.2,261.6,7.2,60,4.0,2.0,98.48,21.508
Acciaio_Mite_S235,208090.7,218.9,5.5,40,1.0,1.5,144.85,5.975
Acciaio_Mite_S235,214414.7,225.2,6.3,50,2.0,2.0,136.7,9.156
Alluminio_6061_T6,69348.7,285.2,3.7,32,2.0,1.5,86.07,13.719
Alluminio_5052_H32,72523.4,200.1,5.9,50,4.0,3.0,134.53,9.394
Alluminio_5052_H32,72550.7,187.8,6.9,60,0.8,2.0,110.06,18.904
Alluminio_5052_H32,69281.1,202.5,5.6,40,0.8,2.0,148.5,5.292
Alluminio_5052_H32,69165.4,199.2,7.5,60,3.0,1.0,96.38,22.979
Alluminio_5052_H32,68792.3,203.6,2.8,24,2.0,1.0,122.92,5.604
Acciaio_Inox_304,197576.8,282.6,7.7,60,2.0,3.0,88.02,25.436
Alluminio_6061_T6,68021.1,287.2,3.5,24,1.0,3.0,128.56,5.082
Acciaio_Mite_S235,215066.5,235.1,4.8,40,0.8,2.0,103.29,13.736
Acciaio_Inox_304,194615.6,270.8,3.8,32,1.0,1.5,90.28,13.346
Alluminio_6061_T6,70382.1,278.8,2.4,20,2.0,3.0,89.93,6.831
Acciaio_Inox_304,194763.8,283.2,5.4,40,1.0,1.5,133.52,7.928
Acciaio_Inox_304,192762.5,293.0,2.9,24,3.0,1.0,89.67,9.261
Alluminio_5052_H32,66925.9,192.6,5.6,40,0.8,1.5,83.5,18.426
Acciaio_Mite_S235,203340.8,230.3,4.1,32,1.0,3.0,118.35,8.192
Acciaio_Mite_S235,208052.3,217.8,3.5,24,2.0,1.5,136.66,4.204
Acciaio_Inox_304,185293.3,285.3,6.1,50,3.0,1.0,110.32,15.125
Alluminio_5052_H32,69699.3,202.6,4.2,32,3.0,2.0,116.45,8.306
Acciaio_Inox_304,194992.6,297.5,4.3,32,4.0,1.5,143.59,4.664
Alluminio_5052_H32,70747.4,196.1,5.0,40,4.0,1.5,149.51,5.134
Acciaio_Inox_304,193795.9,329.2,6.0,50,1.5,1.5,154.43,5.551
Acciaio_Inox_304,192950.1,295.6,5.8,50,2.0,1.0,140.35,8.429
Acciaio_Mite_S235,211169.8,234.1,1.2,10,1.5,1.0,133.1,1.844
Alluminio_6061_T6,70152.7,290.1,5.1,40,2.0,3.0,123.21,9.568
Alluminio_5052_H32,70788.1,197.8,3.1,24,0.8,2.0,104.34,7.644
Acciaio_Inox_304,193948.4,265.7,6.7,50,0.8,1.5,158.23,4.584
Acciaio_Inox_304,190131.3,289.2,2.3,20,0.8,1.0,152.37,2.284
Alluminio_6061_T6,68576.5,301.9,6.6,50,1.0,3.0,126.29,11.453
Alluminio_6061_T6,71179.2,286.1,4.2,32,1.0,2.0,116.77,8.592
Alluminio_6061_T6,67370.8,270.2,1.7,12,3.0,1.5,153.03,1.229
Acciaio_Mite_S235,211872.9,235.7,4.0,32,1.0,2.0,134.21,6.1
Alluminio_6061_T6,66485.5,255.9,5.6,40,1.0,3.0,103.02,13.313
Alluminio_5052_H32,67571.4,203.5,2.1,16,3.0,3.0,98.52,4.182
Alluminio_6061_T6,65821.1,293.0,3.7,32,2.0,1.0,158.73,2.778
Alluminio_5052_H32,70457.0,183.4,2.3,20,1.0,1.0,87.24,8.573
Acciaio_Inox_304,193362.6,293.4,5.0,40,3.0,1.0,148.23,5.2
Acciaio_Inox_304,195805.9,298.6,3.0,24,1.0,1.0,106.1,7.781
Alluminio_5052_H32,71256.3,194.4,6.1,50,1.5,1.5,124.38,11.897
Alluminio_5052_H32,70641.3,180.0,2.2,16,1.0,1.5,107.31,4.762
Alluminio_5052_H32,70045.8,187.3,2.6,20,1.0,1.5,122.02,4.826
Alluminio_5052_H32,69633.8,199.7,1.2,10,0.8,2.0,155.38,1.028
Acciaio_Mite_S235,209764.2,241.0,4.8,40,0.8,3.0,89.09,16.519
Alluminio_5052_H32,66479.9,205.2,5.4,40,1.5,2.0,122.28,9.733
Alluminio_6061_T6,68065.1,299.0,6.0,50,1.0,3.0,150.03,6.281
Acciaio_Inox_304,200123.9,274.0,4.6,40,2.0,2.0,112.41,11.6
Acciaio_Mite_S235,212195.8,220.7,7.4,60,2.0,1.5,155.73,6.121
Acciaio_Mite_S235,209699.9,234.3,5.2,40,1.5,1.0,143.58,6.193
Alluminio_5052_H32,73787.0,201.1,7.8,60,0.8,2.0,156.15,6.099
Acciaio_Inox_304,201962.8,305.7,1.8,16,1.0,1.0,98.18,5.646
Acciaio_Inox_304,203551.0,298.0,3.1,24,1.5,2.0,89.42,9.434
Alluminio_6061_T6,67428.9,276.0,3.4,24,4.0,1.0,92.29,8.276
Alluminio_5052_H32,67807.2,187.4,5.8,50,2.0,1.0,141.19,8.387
Acciaio_Inox_304,189715.8,283.9,3.2,24,3.0,1.5,154.34,2.539
Acciaio_Inox_304,188340.7,280.5,4.8,40,0.8,3.0,100.04,14.186
Acciaio_Inox_304,194678.0,298.0,7.5,60,1.5,1.5,129.0,13.235
Alluminio_6061_T6,68667.4,264.1,7.9,60,1.0,2.0,83.7,28.115
Alluminio_5052_H32,71470.8,199.2,7.0,60,2.0,3.0,96.81,22.631
Acciaio_Inox_304,190223.2,267.9,2.1,16,1.5,3.0,100.83,4.624
Acciaio_Mite_S235,210008.5,233.0,2.9,24,0.8,1.5,146.03,3.498
Acciaio_Mite_S235,209578.8,243.1,2.0,16,0.8,2.0,129.67,3.33
Alluminio_5052_H32,71183.3,185.7,3.8,32,2.0,2.0,91.92,12.278
Acciaio_Inox_304,186041.6,294.7,5.9,50,3.0,3.0,102.83,16.689
Acciaio_Inox_304,186333.9,300.6,6.2,50,3.0,1.5,91.04,20.173
Acciaio_Inox_304,195639.9,301.3,6.3,50,3.0,1.0,157.66,4.643
Alluminio_5052_H32,71515.9,193.1,4.8,40,2.0,1.0,94.62,15.499
Alluminio_6061_T6,70027.2,274.6,5.7,50,1.0,3.0,114.22,14.26
Acciaio_Inox_304,194299.8,301.3,7.6,60,3.0,1.5,154.79,6.322
Acciaio_Inox_304,192619.0,305.4,3.4,24,2.0,1.5,87.14,9.55
Alluminio_6061_T6,68080.9,268.4,1.4,12,1.5,2.0,127.34,2.482
Acciaio_Inox_304,196107.9,271.2,1.9,16,3.0,3.0,105.63,4.034
Acciaio_Inox_304,190965.0,273.9,1.7,12,4.0,1.0,131.34,2.164
Acciaio_Mite_S235,208129.6,232.8,2.3,20,1.5,1.0,156.32,2.082
Acciaio_Inox_304,196329.0,284.2,3.9,32,1.0,1.5,82.49,14.917
Acciaio_Mite_S235,211695.3,239.7,4.0,32,4.0,2.0,151.58,3.792
Acciaio_Inox_304,190673.5,284.4,4.9,40,0.8,2.0,88.81,17.134
Acciaio_Mite_S235,204602.8,240.2,3.2,24,1.0,1.0,109.39,7.281
Acciaio_Inox_304,195814.7,305.5,3.9,32,2.0,2.0,100.31,10.922
Acciaio_Mite_S235,213329.3,238.7,1.2,10,1.5,1.5,89.01,3.212
Acciaio_Mite_S235,207508.5,238.0,4.3,32,3.0,2.0,126.75,6.85
Acciaio_Inox_304,195545.5,284.7,6.4,50,2.0,1.0,101.24,17.678
Alluminio_5052_H32,71011.8,206.2,3.9,32,0.8,1.5,100.84,11.181
Acciaio_Inox_304,188552.9,291.8,6.5,50,0.8,1.0,134.21,9.867
Alluminio_6061_T6,70679.2,257.6,5.3,40,0.8,1.0,137.99,7.255
Alluminio_5052_H32,67465.2,187.0,5.0,40,0.8,3.0,97.84,14.613
Alluminio_5052_H32,71445.5,191.2,7.7,60,3.0,3.0,94.24,22.836
Alluminio_5052_H32,68476.7,188.3,1.9,16,2.0,1.0,122.81,3.699
Alluminio_5052_H32,71876.0,194.7,4.5,32,3.0,1.5,128.26,6.87
Acciaio_Mite_S235,208540.0,231.5,6.6,50,1.5,1.5,116.26,13.829
Alluminio_5052_H32,68838.3,191.8,2.4,20,2.0,1.0,127.07,4.342
Alluminio_6061_T6,68729.0,267.8,4.0,32,3.0,1.0,112.28,9.032
Acciaio_Inox_304,195863.9,312.0,6.7,50,4.0,3.0,84.14,21.014
Alluminio_5052_H32,67514.6,180.0,4.4,32,1.0,1.0,156.42,3.19
Acciaio_Inox_304,199054.2,273.8,1.1,8,3.0,3.0,108.47,1.241
Acciaio_Inox_304,198264.1,300.6,6.7,50,1.0,1.0,131.84,10.245
Alluminio_6061_T6,67349.0,291.3,6.3,50,4.0,1.0,114.81,13.753
Acciaio_Mite_S235,210735.3,241.6,7.3,60,0.8,2.0,146.14,8.787
Acciaio_Inox_304,193249.3,264.7,1.9,16,1.0,1.0,102.98,5.338
Acciaio_Inox_304,190877.8,316.1,2.6,20,3.0,1.5,90.55,6.968
Alluminio_5052_H32,70164.1,201.3,1.5,12,1.5,1.0,96.21,3.971
Acciaio_Inox_304,199425.2,300.2,2.7,20,1.0,1.0,132.88,3.896
Alluminio_5052_H32,70094.0,184.5,2.8,24,1.5,1.0,141.59,3.788
Alluminio_6061_T6,66318.0,288.8,6.1,50,1.0,3.0,145.3,7.292
Alluminio_5052_H32,71448.3,194.8,1.7,12,3.0,3.0,158.4,1.053
Alluminio_6061_T6,67322.1,297.6,3.4,24,0.8,1.5,116.23,6.449
Acciaio_Mite_S235,212866.4,228.3,6.1,50,1.5,2.0,140.17,8.599
Alluminio_6061_T6,69015.5,268.8,1.8,16,0.8,1.0,104.75,5.228
Acciaio_Mite_S235,210569.8,238.3,7.8,60,3.0,2.0,134.55,11.487
Acciaio_Mite_S235,217751.0,234.9,6.8,50,0.8,1.5,121.11,12.803
Alluminio_5052_H32,72456.0,215.0,4.9,40,3.0,3.0,103.12,12.952
Alluminio_5052_H32,69614.0,197.6,4.2,32,1.5,2.0,122.35,7.781
Alluminio_5052_H32,69088.5,185.5,2.3,20,0.8,2.0,89.15,8.032
Alluminio_5052_H32,70560.7,190.0,3.8,32,2.0,2.0,93.53,12.133
Alluminio_5052_H32,71268.3,210.4,2.8,24,4.0,1.5,119.61,5.608
Alluminio_6061_T6,70285.8,281.6,1.4,12,1.0,3.0,149.06,1.506
Alluminio_5052_H32,70036.0,188.2,1.5,12,4.0,2.0,157.32,1.113
Alluminio_6061_T6,70862.2,249.5,3.6,32,2.0,2.0,122.99,7.559
Alluminio_6061_T6,67762.1,297.0,2.1,16,3.0,3.0,147.48,1.975
Alluminio_5052_H32,72626.8,190.5,2.5,20,4.0,1.5,151.23,2.435
Acciaio_Inox_304,194322.2,292.9,2.1,16,4.0,2.0,156.68,1.501
Alluminio_5052_H32,72758.2,195.9,2.4,20,1.0,3.0,156.42,1.82
Alluminio_6061_T6,73171.2,252.4,5.2,40,1.5,1.0,140.03,6.794
Alluminio_5052_H32,69205.4,215.0,7.3,60,1.0,1.0,110.55,18.859
Acciaio_Inox_304,186607.1,305.0,5.0,40,4.0,1.0,90.16,15.719
Acciaio_Mite_S235,213867.0,237.4,7.7,60,0.8,1.0,94.15,24.403
Acciaio_Mite_S235,209172.7,240.3,7.4,60,1.0,3.0,90.67,25.126
Alluminio_5052_H32,71986.1,217.1,6.7,50,4.0,2.0,124.21,11.524
Acciaio_Mite_S235,208710.4,250.0,5.1,40,4.0,1.0,97.56,14.143
Alluminio_6061_T6,69282.5,268.1,1.2,10,1.5,1.5,92.51,3.14
Acciaio_Inox_304,197331.1,315.6,1.6,12,1.5,1.5,100.23,3.4
Acciaio_Inox_304,189750.3,308.4,3.0,24,2.0,1.5,129.08,4.984
Acciaio_Inox_304,200249.3,291.5,3.9,32,2.0,1.0,89.45,13.26
Acciaio_Inox_304,189754.5,276.6,6.7,50,4.0,1.0,99.9,17.49
Alluminio_6061_T6,70055.1,283.1,5.8,50,3.0,2.0,117.94,13.296
Alluminio_5052_H32,69163.7,186.2,7.9,60,1.5,3.0,139.72,10.252
Alluminio_6061_T6,68250.8,277.4,5.2,40,1.5,3.0,144.58,5.793
Acciaio_Inox_304,196219.0,292.0,4.6,40,1.0,2.0,117.24,10.896
Alluminio_5052_H32,70990.7,196.4,6.6,50,3.0,3.0,142.84,7.714
Acciaio_Mite_S235,206393.4,223.1,5.3,40,2.0,1.5,98.51,14.404
Alluminio_6061_T6,69761.0,289.2,2.3,20,1.5,2.0,141.77,3.247
Alluminio_5052_H32,70071.2,193.4,6.3,50,1.0,1.0,97.22,19.196
Alluminio_5052_H32,70508.7,186.6,7.7,60,2.0,1.5,155.04,6.339
Alluminio_5052_H32,68516.3,184.1,5.7,50,4.0,1.0,157.81,4.653
Alluminio_6061_T6,67864.8,281.5,6.4,50,0.8,1.5,136.03,9.399
Acciaio_Mite_S235,214100.2,248.2,6.0,50,3.0,2.0,95.8,18.745
Alluminio_5052_H32,71685.5,197.6,3.8,32,4.0,1.0,100.31,10.875
Acciaio_Mite_S235,200392.1,260.8,7.9,60,3.0,2.0,131.01,12.209
Acciaio_Mite_S235,200721.2,240.7,4.8,40,1.5,2.0,82.0,18.528
Alluminio_5052_H32,70348.6,182.1,3.6,32,4.0,2.0,148.24,4.206
Acciaio_Inox_304,193292.8,284.3,4.9,40,1.5,1.0,84.88,18.295
Acciaio_Mite_S235,206979.2,232.5,1.6,12,0.8,1.5,140.21,2.094
Acciaio_Inox_304,190051.0,282.3,5.8,50,2.0,2.0,124.7,11.812
Alluminio_6061_T6,66336.6,270.3,5.1,40,2.0,3.0,111.94,11.4
Alluminio_5052_H32,70335.6,206.9,6.5,50,3.0,3.0,120.04,12.507
Alluminio_5052_H32,71540.5,195.3,1.8,16,0.8,3.0,150.03,2.007
Acciaio_Mite_S235,213594.4,227.6,7.0,60,1.5,3.0,101.62,21.042
Acciaio_Inox_304,193152.5,300.8,4.6,40,1.5,1.5,120.34,10.223
Acciaio_Mite_S235,210010.7,251.7,3.8,32,1.5,2.0,124.66,7.374
Acciaio_Mite_S235,212540.1,221.7,4.5,32,1.0,1.5,148.01,4.313
Alluminio_5052_H32,67476.8,214.2,5.6,40,2.0,1.5,151.1,4.943
Acciaio_Mite_S235,204475.8,253.0,5.7,50,2.0,1.5,93.98,20.01
Acciaio_Mite_S235,210747.8,245.9,7.5,60,1.5,1.5,143.61,9.366
Acciaio_Mite_S235,208357.8,239.3,2.6,20,1.5,2.0,104.88,6.004
Alluminio_6061_T6,69323.0,297.3,1.2,10,1.0,1.5,138.54,1.709
Alluminio_6061_T6,70594.6,269.3,6.8,50,3.0,3.0,139.83,8.26
Acciaio_Mite_S235,207537.3,246.5,1.4,12,0.8,3.0,98.34,3.46
Alluminio_5052_H32,68530.5,188.5,3.3,24,4.0,1.0,155.72,2.265
Alluminio_6061_T6,70448.1,270.3,3.5,24,1.5,3.0,128.6,4.939
Alluminio_5052_H32,68623.6,203.8,3.0,24,2.0,2.0,88.46,9.278
Alluminio_6061_T6,68251.3,279.2,4.1,32,2.0,1.0,106.08,10.312
Alluminio_5052_H32,69985.9,174.8,1.3,10,2.0,1.0,99.34,2.977
Acciaio_Mite_S235,204599.8,210.2,3.7,32,1.5,2.0,125.48,7.31
Alluminio_6061_T6,67577.1,254.9,2.3,20,3.0,1.5,105.01,5.86
Alluminio_5052_H32,67943.7,188.6,5.1,40,1.0,1.0,129.72,8.704
Alluminio_5052_H32,69362.9,207.6,3.7,32,2.0,2.0,96.71,11.446
Alluminio_6061_T6,70389.7,284.4,7.5,60,3.0,2.0,145.54,8.757
Alluminio_6061_T6,68754.1,304.4,5.1,40,4.0,3.0,126.61,8.692
Alluminio_5052_H32,70243.7,180.2,7.1,60,3.0,3.0,152.77,6.796
Acciaio_Mite_S235,206543.5,236.0,4.6,40,3.0,1.0,125.11,9.303
Acciaio_Inox_304,188986.1,288.8,4.3,32,4.0,3.0,150.94,3.837
Alluminio_5052_H32,67776.2,185.4,7.7,60,1.5,2.0,119.08,15.818
Alluminio_6061_T6,69935.0,284.6,7.5,60,3.0,3.0,117.24,16.024
Acciaio_Mite_S235,211523.8,216.4,3.5,24,4.0,3.0,136.1,3.961
Alluminio_6061_T6,67225.7,260.9,5.9,50,1.0,1.0,114.25,14.715
Acciaio_Inox_304,194588.5,291.7,5.2,40,3.0,3.0,127.22,8.609
Acciaio_Mite_S235,216477.5,239.5,1.0,8,1.5,1.5,93.5,2.296
Alluminio_5052_H32,69984.9,184.0,2.5,20,0.8,1.0,129.18,4.268
Acciaio_Inox_304,193550.4,275.5,6.8,50,3.0,1.5,145.2,7.252
Alluminio_6061_T6,69158.1,253.3,6.7,50,1.0,1.0,121.04,12.889
Alluminio_5052_H32,69964.7,182.6,7.5,60,2.0,1.5,129.42,13.129
Alluminio_5052_H32,70295.3,191.3,1.2,10,0.8,1.5,148.75,1.317
Alluminio_6061_T6,65609.0,270.0,2.7,20,3.0,2.0,143.96,2.9
Alluminio_5052_H32,69819.3,220.5,5.0,40,4.0,3.0,119.1,9.772
Alluminio_5052_H32,71443.2,184.2,3.0,24,1.5,1.0,129.13,5.002
Acciaio_Mite_S235,214629.6,233.0,4.1,32,1.5,1.0,150.03,4.078
Alluminio_5052_H32,70111.3,172.6,7.6,60,2.0,2.0,126.64,13.665
Acciaio_Mite_S235,208987.5,248.8,7.0,60,1.5,3.0,122.12,14.892
Alluminio_6061_T6,69862.0,287.0,3.0,24,3.0,1.0,104.48,7.43
Alluminio_6061_T6,67461.8,262.8,3.6,32,3.0,3.0,139.19,5.197
Alluminio_5052_H32,68958.8,183.0,3.0,24,4.0,2.0,93.8,7.933
Acciaio_Mite_S235,211646.8,241.9,4.9,40,3.0,2.0,131.45,8.128
Alluminio_6061_T6,71383.6,265.3,1.7,12,1.0,3.0,140.0,1.704
Alluminio_6061_T6,67462.5,270.8,6.9,60,0.8,3.0,141.39,9.976
Alluminio_5052_H32,69280.3,194.4,7.4,60,4.0,1.5,135.14,11.156
Acciaio_Inox_304,193175.4,285.2,2.7,20,0.8,1.5,113.56,5.525
Alluminio_5052_H32,70599.4,187.4,5.8,50,3.0,3.0,109.32,15.139
Alluminio_6061_T6,67876.9,246.7,6.2,50,4.0,3.0,90.59,19.391
Acciaio_Mite_S235,207149.0,227.2,3.4,24,4.0,1.5,122.77,5.391
Alluminio_6061_T6,70435.1,266.3,2.1,16,3.0,3.0,130.33,2.873
Alluminio_5052_H32,70650.0,183.4,5.1,40,1.5,3.0,124.84,9.263
Acciaio_Mite_S235,211099.9,232.3,7.3,60,1.5,1.5,96.68,23.34
Alluminio_5052_H32,68608.4,204.0,5.1,40,0.8,1.0,129.96,8.668
Alluminio_6061_T6,69902.3,284.7,5.6,40,1.5,1.5,130.52,8.286
Acciaio_Mite_S235,211481.9,207.7,7.3,60,3.0,1.5,156.38,6.036
Acciaio_Mite_S235,209921.5,233.6,2.8,24,0.8,2.0,148.26,3.266
Alluminio_6061_T6,67061.4,277.6,7.4,60,4.0,2.0,154.68,6.371
Alluminio_6061_T6,66969.4,263.5,3.5,24,4.0,3.0,130.13,4.452
Acciaio_Mite_S235,213020.4,220.2,4.0,32,1.0,2.0,111.7,9.384
Alluminio_5052_H32,69891.3,193.3,5.9,50,2.0,2.0,107.51,15.958
Acciaio_Mite_S235,212260.7,242.6,2.1,16,3.0,1.0,99.14,4.857
Acciaio_Mite_S235,205688.3,228.7,2.6,20,2.0,2.0,109.23,5.497
Acciaio_Inox_304,192087.9,299.4,4.6,40,2.0,2.0,122.51,9.779
Alluminio_5052_H32,68661.5,203.5,4.9,40,4.0,3.0,123.46,9.348
Acciaio_Inox_304,192936.4,264.8,4.9,40,0.8,1.5,99.89,14.727
Acciaio_Mite_S235,218407.6,237.9,4.4,32,3.0,3.0,110.7,8.801
Acciaio_Inox_304,195245.2,266.0,1.5,12,1.5,1.5,103.91,3.455
Alluminio_6061_T6,70307.7,277.3,4.5,32,2.0,2.0,121.82,7.601
Acciaio_Inox_304,192564.6,296.1,2.8,24,2.0,3.0,133.52,4.423
Acciaio_Inox_304,194434.4,308.8,1.4,12,4.0,3.0,124.2,2.03
Acciaio_Inox_304,194079.3,296.6,3.2,24,1.0,1.5,101.82,8.165
Alluminio_5052_H32,72514.4,181.4,3.3,24,0.8,1.0,126.8,5.389
Acciaio_Inox_304,188997.5,301.1,5.6,40,1.0,1.0,139.05,6.953
Acciaio_Inox_304,199395.1,273.8,7.5,60,3.0,1.0,140.11,10.093
Alluminio_6061_T6,70874.6,297.4,6.8,50,4.0,1.5,139.71,8.37
Acciaio_Mite_S235,213871.8,242.8,5.8,50,0.8,3.0,153.17,5.676
